Company Name,Industry,Address,City,State,ZIP,Contact First Name,Contact Middle Initial,Contact Last Name,Phone,Birthdate,Email,Account Code,National ID,Creation Date,Modify Date,Demo Reference
PBB Global Logistics,Merchandise Brokers,1300 International Blvd,sWEET GRASS,MT,59484-0000,Tiffany,,Rowell,(121) 979-3716,05/12/1964,trowell@pbbgloballogistics.com,<3716-0000/Row>,242-59-8480,07/27/05,01/13/12,
Cjc Enterprises,Internet & Catalog Shopping,1305 Jelmak St,gRAND PRAIRIE,TX,75050-4235,Claudia,,Masen,(998) 771-8455,26/11/1977,cmasen@cjcenterprises.com,<8455-4235/Mas>,508-39-5521,04/07/99,09/23/05,
CPW Pharmacy,Pharmacies,13107 Rockaway Blvd,jAMAICA,NY,11420-2931,Tahmina,,Sultan,(504) 954-5411,27/07/1969,tsultan@cpwpharmacy.com,<5411-2931/Sul>,760-36-3803,02/24/08,06/04/99,
Red Rock Hair Company,Beauty shops,133 E Tabernacle St Ste 2,sT GEORGE,Utah,84770-3443,Theresa,,Foisy,(944) 245-8078,14/11/1976,tfoisy@redrockhaircompany.com,<8078-3443/Foi>,51-46-5759,11/04/01,04/22/08,
Izakaya Restaurant,Restaurants,1335 N 1st St,sAN JOSE,CA,95112-4710,Seiichi,,Chiba,(990) 000-2715,10/03/1962,schiba@izakayarestaurant.com,<2715-4710/Chi>,244-18-2338,07/16/95,01/01/02,
BSV Consulting Inc,Business Management Consultants,13507 Deerwater Dr,gERMANTOWN,MD,20874-2848,Vanessa,,Brown,(760) 033-2809,12/06/1962,vbrown@bsvconsultinginc.com,<2809-2848/Bro>,691-68-5367,06/03/04,11/20/10,
Current Mapping & Surveying PA,Engineering service,1353 Brushy Mountain Rd,wILKESBORO,NC,28697-8478,Richard,,Current,(960) 829-4413,02/11/1966,rcurrent@currentmapping&surveyingpa.com,<4413-8478/Cur>,95-78-4221,02/12/98,07/31/04,
Rouen Lincoln Mercury Suzuki,Automobile Dealers-Used Cars,1361 Conant St,mAUMEE, Ohio,43537-1609,Michael,,Rouen,(904) 119-9476,12/09/1980,mrouen@rouenlincolnmercurysuzuki.com,<9476-1609/Rou>,665-28-5124,01/01/07,04/11/98,
Great Clips,Beauty Salons,1380 S Providence Center Dr#2,cEDAR CITY,Utah,84720-1962,Richard,,Ajar,(828) 728-2101,04/07/1960,rajar@greatclips.com,<2101-1962/Aja>,36-74-7177,09/11/00,02/28/07,
Figge Construction Co,"Single-family housing construction, nec",13823 US Highway 61,sAINTE GENEVIEVE,MO,63670-8474,Kenneth,,Figge,(408) 299-2986,06/12/1962,kfigge@figgeconstructionco.com,<2986-8474/Fig>,897-24-7333,07/31/09,11/08/00,
H & J Trucking Inc,Local trucking company,1395 County Road 1506,cULLMAN,AL,35058-0736,Hershel,,Needham,(694) 970-2121,24/07/1960,hneedham@h&jtruckinginc.com,<2121-0736/Nee>,471-96-2619,04/11/03,09/27/09,
HKH Inc,Antiques-Dealers,14 Church St,lAMBERTVILLE,NJ,08530-2102,Jeffrey,,Henkle,(296) 836-7550,05/06/1975,jhenkle@hkhinc.com,<7550-2102/Hen>,353-69-1592,12/20/96,06/08/03,
International Entertainment,Real Estate Developers,1401 Mississippi Ave # 10,sAUGET,IL,,Michael,,Ocello,(185) 883-5319,26/04/1969,mocello@internationalentertainment.com,<5319-/Oce>,162-72-5561,11/08/05,04/26/12,
One Hour Martinizing,Cleaners,1407 Larpenteur Ave W,sT PAUL,MN,,Shelley,,Eiynck,(615) 722-3428,21/02/1964,seiynck@onehourmartinizing.com,<3428-/Eiy>,127-78-7776,07/20/99,01/05/06,
Vanderbeck Learning Cente,Child day care service,1410 Shackelford Rd,fLORISSANT,MO,,Sharley,,Marxkorx,(187) 156-0613,07/06/1956,smarxkorx@vanderbecklearningcente.com,<0613-/Mar>,893-85-1630,06/07/08,09/16/99,
Red Rock Volleybl CLB S Utah,Membership recreation club,1413 Dammeron Valley Dr E,dAMMERON VALLEY,Utah,,Richard,,Downer,(973) 344-9670,25/03/1981,rdowner@redrockvolleyblclbsutah.com,<9670-/Dow>,125-74-8482,02/16/02,08/04/08,
Bizintegrity Inc,Computer systems design services,14202 Decker Dr,mAGNOLIA,TX,,Douglas,,Snyder,(933) 442-0115,26/01/1955,dsnyder@bizintegrityinc.com,<0115-/Sny>,304-01-1972,10/28/95,04/15/02,
Tonys D & D Auto Parts,Automobile Sunroofs,1430 S Broadway St,cARROLLTON,TX,,Anthony,,Dycus,(447) 391-7689,22/10/1975,adycus@tonysd&dautoparts.com,<7689-/Dyc>,386-34-1908,09/15/04,03/04/11,
Garden Fresh Foods Inc,Fruits & Vegetables & Produce-Retail,14316 NE 203rd St,wOODINVILLE,WA,,Matthew,,Patterson,(119) 305-0595,20/05/1956,mpatterson@gardenfreshfoodsinc.com,<0595-/Pat>,367-00-5691,05/27/98,11/12/04,
Hurley Electric,"Electrical work, nec",146 E Carter Rd,pHOENIX,Arizona,,Patrick,A,Hurley,(898) 562-3191,29/06/1963,phurley@hurleyelectric.com,<3191-/Hur>,991-62-0414,04/15/07,07/24/98,
Rimrock Realty Inc,Real estate agents and managers,146 S State St,lA VERKIN,Utah,84745-5600,Raymond,B,Eaves,(572) 420-6016,24/03/1971,reaves@rimrockrealtyinc.com,<6016-5600/Eav>,462-46-6535,12/24/00,06/12/07,
East Cleveland Child Dev Ctr,"Child day care services, nec",14920 Euclid Ave,cLEVELAND, Ohio,44112-3408,Michele,D,Dedevauthn,(829) 865-3418,11/02/1964,mdedevauthn@eastclevelandchilddevctr.com,<3418-3408/Ded>,676-31-3759,11/12/09,02/20/01,
Qadra Driving School,Driving Instruction,15 E 22nd St,mINNEAPOLIS,MN,55404-2535,Mohamed,W,Omarxeyd,(121) 502-0617,11/06/1956,momarxeyd@qadradrivingschool.com,<0617-2535/Oma>,897-65-4178,07/24/03,01/09/10,
BHB Exterminating Corp,Pest Control,150 W 28th St,nEW YORK,NY,10001-6103,Michael,S,Broder,(177) 215-3635,15/09/1964,mbroder@bhbexterminatingcorp.com,<3635-6103/Bro>,962-70-7145,04/03/97,09/20/03,
Alcoholics Annyms Dwntwn Grp,Specialty hospital,1501 E Commerce St,sAN ANTONIO,TX,78205-3323,Allison,J,Dennis,(105) 609-5405,21/07/1969,adennis@alcoholicsannymsdwntwngrp.com,<5405-3323/Den>,640-17-5407,02/20/06,08/08/12,
Xgear Technologies Inc,Management service,1506 Lake Highland Dr,oRLANDO,FL,32803-2651,Douglas,Y,Kegler,(991) 324-2888,30/08/1962,dkegler@xgeartechnologiesinc.com,<2888-2651/Keg>,1-52-0994,11/01/99,04/19/06,
Outback Barn,Doors-Garage,1507 Highway 71 S,mENA,AR,71953-3862,Shelton,D,Ledbetter,(861) 752-1546,27/12/1958,sledbetter@outbackbarn.com,<1546-3862/Led>,492-78-3419,09/19/08,12/29/99,
Copper Chase Homeowners Assn,Condominiums,151 W Ridge View Dr,bRIAN HEAD,Utah,84719-0000,Quentin,S,Morisette,(253) 683-3293,09/10/1963,qmorisette@copperchasehomeownersassn.com,<3293-0000/Mor>,5-17-9365,05/31/02,11/16/08,
Famour Footwear,Shoes-Retail,1515 US Highway 22,wATCHUNG,NJ,07069-6509,Shontae,E,Scott,(393) 654-4789,13/11/1967,sscott@famourfootwear.com,<4789-6509/Sco>,839-47-8237,02/09/96,07/28/02,
Smith Veletta P,Legal service,1517 Broadway St,lITTLE ROCK,AR,72202-4847,Veletta,,Smith,(417) 124-4605,13/05/1967,vsmith@smithvelettap.com,<4605-4847/Smi>,366-24-5173,12/28/04,06/16/11,
Daniela Coiffeurs,Beauty Salons,15219 W Sunset Blvd,pACIFIC PLSDS,CA,90272-3607,Daniela,,Molnar,(335) 658-2778,12/05/1962,dmolnar@danielacoiffeurs.com,<2778-3607/Mol>,160-22-8666,09/08/98,02/24/05,
Turnbow Outdoor,Manufacturer of advertising displays,1540 Sandhill Dr,wASHINGTON,Utah,84780-8161,Michael,A,Turnbow,(453) 616-2502,09/08/1961,mturnbow@turnbowoutdoor.com,<2502-8161/Tur>,127-32-1845,07/28/07,11/05/98,
Jfh Group,Accountants,15432 Valley Blvd,cITY OF INDUSTRY,CA,91746-3325,William,B,Hu,(237) 595-3782,09/02/1965,whu@jfhgroup.com,<3782-3325/Hu>,62-99-8976,04/07/01,09/24/07,
Bang Concrete LLC,Concrete contractor,155 W 200 N,iVINS,Utah,84738-6146,Devoree,D,Bang,(426) 025-5441,26/08/1969,dbang@bangconcretellc.com,<5441-6146/Ban>,775-28-8126,12/17/94,06/04/01,
Sgp Manufacturing,Manufacturer of miscellaneous products,1570 Broadway St Ne,sALEM,OR,97303-7030,Stewart,W,Dustan,(497) 866-3815,14/03/1965,sdustan@sgpmanufacturing.com,<3815-7030/Dus>,908-77-7270,11/05/03,04/23/10,
Connect One Semiconductors,Manufacturer of semiconductor devices,15818 N 9th Ave,pHOENIX,Arizona,85023-4438,Richard,S,Miller,(656) 471-4417,06/11/1966,rmiller@connectonesemiconductors.com,<4417-4438/Mil>,264-30-6240,07/16/97,01/02/04,
Zion Chevron,Service Stations-Gasoline & Oil,1593 Zion Park Blvd,sPRINGDALE,Utah,84767-0000,Shriley,J,Ballard,(469) 593-9913,23/11/1981,sballard@zionchevron.com,<9913-0000/Bal>,313-68-0419,06/04/06,09/12/97,
Envio De Dinero SJL,Money Transfer Service,1600 E Holt Ave,pOMONA,CA,91767-5826,Stefano,Y,Sanges,(930) 730-1052,20/08/1957,ssanges@enviodedinerosjl.com,<1052-5826/San>,234-03-5166,02/13/00,08/01/06,
Station Wond & Wmgm-FM,Television station,1601 New Rd,lINWOOD,NJ,08221-1116,Chesley,D,Dorsey,(125) 934-1967,21/02/1960,cdorsey@stationwond&wmgm-fm.com,<1967-1116/Dor>,748-28-4353,01/01/09,04/11/00,
Kkp Group LLC,Autism Counseling & Treatment,1603 Orrington Ave # 1880,eVANSTON,IL,60201-5064,Phillip,S,Fontana,(707) 881-8644,03/06/1978,pfontana@kkpgroupllc.com,<8644-5064/Fon>,417-93-6036,09/12/02,02/28/09,
Chan Thai Cusine,Restaurants,1605 Pacific Coast Hwy,hARBOR CITY,CA,90710-2600,Jirayus,E,Pukkanasut,(259) 202-4957,29/04/1968,jpukkanasut@chanthaicusine.com,<4957-2600/Puk>,594-82-2945,05/23/96,11/09/02,
Mountain Semicdtr Inds LLC,Recording Studio Eqpt-Sound/Video (Whol),1605 W Parkside Ln Ste 2,pHOENIX,Arizona,85027-1349,Michael,,Williams,(721) 818-1889,05/12/1959,mwilliams@mountainsemicdtrindsllc.com,<1889-1349/Wil>,748-52-5989,04/11/05,09/28/11,
Ht Gifts,Balloon Artists,1616 W Montebello Ave,pHOENIX,Arizona,85015-2558,Mosarof,,Hossain,(377) 300-1951,05/02/1960,mhossain@htgifts.com,<1951-2558/Hos>,689-80-2559,12/21/98,06/08/05,
Roberta Hulce Business Dev Inc,Business Management Consultants,16823 SW 79th Pl,pALMETTO BAY,FL,33157-4750,Roberta,A,Hulce,(877) 667-0459,05/01/1956,rhulce@robertahulcebusinessdevinc.com,<0459-4750/Hul>,590-23-3868,11/09/07,02/17/99,
Yau Yee Trading Co,International Trade Services,17018 Evergreen Pl,cITY OF INDUSTRY,CA,91745-1819,Phillip,B,Lau,(212) 955-5557,20/12/1969,plau@yauyeetradingco.com,<5557-1819/Lau>,910-12-7978,07/20/01,01/06/08,
Lozano Industries,Machine Shops,1710 Opa Locka Blvd,oPA LOCKA,FL,33054-4222,Enrique,D,Lozano,(768) 447-2556,02/10/1961,elozano@lozanoindustries.com,<2556-4222/Loz>,325-53-4199,03/31/95,09/16/01,
Hees Electric Co,"Electrical work, nec",1716 E Mclellan Rd,mESA,Arizona,85203-3941,Gilbert,W,Hees,(925) 423-0773,14/11/1956,ghees@heeselectricco.com,<0773-3941/Hee>,745-72-7584,02/17/04,08/05/10,
Stephen Geller DPM,Podiatrists,1728 W Glendale Ave # 103,pHOENIX,Arizona,85021-8862,Stephen,S,Geller,(371) 084-4302,14/07/1966,sgeller@stephengellerdpm.com,<4302-8862/Gel>,783-46-8147,10/28/97,04/15/04,
Cooper Climate Control LLC,Pipe Thawing,1742 W Amberwood Dr,pHOENIX,Arizona,85045-1790,Kendall,J,Cooper,(680) 694-4019,04/10/1965,kcooper@cooperclimatecontrolllc.com,<4019-1790/Coo>,263-74-6709,09/16/06,12/25/97,
Water and Power Yard Warehouse,Water/sewer/utility contractor,175 E 200 N,mONROE,Utah,84754-4203,Phillip,Y,Soloman,(113) 400-6252,15/11/1971,psoloman@waterandpoweryardwarehouse.com,<6252-4203/Sol>,972-65-6477,05/27/00,11/13/06,
Sound Cellular,Cellular Telephones (Services),175 W 900 S # 1,sT GEORGE,Utah,84770-5269,Jeannie,D,Hunt,(700) 950-1785,23/08/1959,jhunt@soundcellular.com,<1785-5269/Hun>,92-99-6135,04/15/09,07/24/00,
Sheridan Appraisal Service LLC,"Real estate agents and managers, nec",1761 W Brookwood CT,pHOENIX,Arizona,85045-1786,Patrick,S,Sheridan,(309) 285-1690,20/05/1959,psheridan@sheridanappraisalservicellc.com,<1690-1786/She>,-18-2927,12/25/02,06/12/09,
Giant Express,Messenger Service,1768 Columbia Rd NW,wASHINGTON,DC,20009-2853,Enraqua,E,Marrouuil,(968) 950-5422,07/08/1969,emarrouuil@giantexpress.com,<5422-2853/Mar>,660-33-4756,09/04/96,02/21/03,
Bakal Dermatology Assoc SC,Physicians & Surgeons-Emergency Service,1786 Moon Lake Blvd # 100,sCHAUMBURG,IL,60194-1016,Jeffrey,,Bakal,(579) 521-0474,20/01/1956,jbakal@bakaldermatologyassocsc.com,<0474-1016/Bak>,698-41-2603,07/24/05,01/10/12,
Grudko Jeffery Law Office of,"Legal services, nec",180 Tuckerton Rd Ste 10,mEDFORD,NJ,08055-8802,Jeffrey,,Grudko,(210) 307-6384,26/03/1972,jgrudko@grudkojefferylawofficeof.com,<6384-8802/Gru>,225-80-9506,04/04/99,09/20/05,
Kxjo-FM,"Radio broadcasting stations, nec",1801 Harrison St,oAKLAND,CA,94612-3403,Gabriel,A,Grimalt,(420) 053-2444,12/06/1961,ggrimalt@kxjo-fm.com,<2444-3403/Gri>,243-23-1395,02/21/08,06/01/99,
Park America Inc,Parking Stations & Garages,1801 John F Kennedy Blvd,pHILADELPHIA,PA,19103-1731,Abraham,B,Fofana,(321) 870-4446,05/12/1966,afofana@parkamericainc.com,<4446-1731/Fof>,105-11-3452,11/01/01,04/19/08,
Advanced Foot & Ankle,Podiatrist's office,1811 W Royal Hunte Dr # 2,cEDAR CITY,Utah,84720-8351,Russell,D,Olsen,(237) 901-0555,10/04/1956,rolsen@advancedfoot&ankle.com,<0555-8351/Ols>,512-35-7617,07/13/95,12/29/01,
Acoustical Spray Texture,Dry Wall Contractors,18115 SW Cheyenne Way,tUALATIN,OR,97062-8477,Herbert,W,Smith,(421) 891-7631,25/08/1975,hsmith@acousticalspraytexture.com,<7631-8477/Smi>,374-76-1443,05/31/04,11/17/10,
FMS PHARMACY,Pharmacies,1817 13th Ave N,bESSEMER,AL,35020-3246,Vincent,S,Cheatham,(532) 533-4111,04/01/1966,vcheatham@fmspharmacy.com,<4111-3246/Che>,515-81-3440,02/09/98,07/28/04,
American Standard Automation,Automation Consultants,1820 Parkview Dr,lISLE,IL,60532-4163,Honghui,J,Xu,(572) 774-4987,29/05/1968,hxu@americanstandardautomation.com,<4987-4163/Xu>,603-93-8595,12/29/06,04/08/98,
JMA,Management consulting service,1825 AUBURN DR,cARROLLTON,TX,75007-1452,Theresa,Y,Barbero,(305) 400-4231,04/05/1966,tbarbero@jma.com,<4231-1452/Bar>,425-20-7628,09/08/00,02/25/07,
Vicheth Thay DDS,Dentists,18250 Roscoe Blvd,nORTHRIDGE,CA,91325-4226,Vicheth,D,Thay,(427) 007-9273,22/02/1980,vthay@vicheththaydds.com,<9273-4226/Tha>,541-81-2995,07/28/09,11/05/00,
William Prince Inn,Bed & Breakfast Accommodations,185 S 300 E,pANGUITCH,Utah,84759-0000,Claudia,S,Crump,(912) 366-4058,12/11/1965,ccrump@williamprinceinn.com,<4058-0000/Cru>,821-51-7780,04/08/03,09/24/09,
Johnson Bank,Banks,1850 N Central Ave # 100,pHOENIX,Arizona,85004-4541,Christi,E,Weeks,(930) 727-5216,13/01/1969,cweeks@johnsonbank.com,<5216-4541/Wee>,163-37-7537,12/17/96,06/05/03,
Jackson Eye Care,Optometrists Od,1870 N Main St # 203,cEDAR CITY,Utah,84720-7741,Russell,,Jackson,(200) 206-4673,20/07/1967,rjackson@jacksoneyecare.com,<4673-7741/Jac>,448-98-0892,11/05/05,04/23/12,
DNH Real Estate,Real Estate,18781 Colima Rd,rOWLAND HEIGHTS,CA,91748-2951,Micheal,,Joung,(758) 497-6445,26/05/1972,mjoung@dnhrealestate.com,<6445-2951/Jou>,729-16-3503,07/17/99,01/02/06,
Fnj Auto Repair,General automotive repair service,1884 Flushing Ave,rIDGEWOOD,NY,11385-1059,Michael,A,Obritas,(746) 267-4131,24/01/1966,mobritas@fnjautorepair.com,<4131-1059/Obr>,164-36-9210,06/04/08,09/13/99,
W & W Roadside Svc,Road Service-Automotive,190 N 100 W,iVINS,Utah,84738-6152,Wendell,B,Gubler,(339) 175-8926,12/03/1979,wgubler@w&wroadsidesvc.com,<8926-6152/Gub>,790-79-5654,02/13/02,08/01/08,
RWK Consulting Assoc Inc,Electronics-Consultants,1925 Bryant St,pALO ALTO,CA,94301-3712,Richard,D,Koralek,(773) 862-6129,15/07/1971,rkoralek@rwkconsultingassocinc.com,<6129-3712/Kor>,59-71-5604,10/25/95,04/12/02,
Rummage Creations,Craft Supplies,195 E 100 S,bICKNELL,Utah,84715-0000,Marilyn,W,Tulin,(252) 688-6170,25/08/1971,mtulin@rummagecreations.com,<6170-0000/Tul>,939-27-9555,09/12/04,03/01/11,
Dee's Delicate Designs,Jewelry-Manufacturers,19803 Bambiwoods Ct,hUMBLE,TX,77346-1234,Delores,S,Cooper,(761) 036-8810,16/11/1978,dcooper@dee'sdelicatedesigns.com,<8810-1234/Coo>,548-88-1585,05/24/98,11/09/04,
Bill Scordato,Auctioneers,20 Long Bow Dr,sEWELL,NJ,08080-1659,William,J,Scordato,(836) 929-9032,26/06/1979,wscordato@billscordato.com,<9032-1659/Sco>,494-45-3300,04/12/07,07/21/98,
Garfield Memorial Hospital,Hospitals,200 N 400 E,pANGUITCH,Utah,84759-0000,Alberto,Y,Basquez,(625) 706-7520,06/05/1975,abasquez@garfieldmemorialhospital.com,<7520-0000/Bas>,188-48-4953,12/21/00,06/09/07,
HSL Inc,Computer Software,200 University Park Dr # 250,eDWARDSVILLE,IL,62025-3649,Phillip,D,Loethen,(754) 416-7787,28/01/1976,ploethen@hslinc.com,<7787-3649/Loe>,174-92-7463,11/09/09,02/17/01,
Barb's Place,Cocktail Lounges,201 East St,tEXARKANA,AR,71854-6503,Barbara,S,Graves,(916) 339-8638,28/05/1978,bgraves@barb'splace.com,<8638-6503/Gra>,980-11-7257,07/21/03,01/06/10,
Mc Donald's,Restaurants,2020 N 75th Ave,pHOENIX,Arizona,85035-3200,Latammy,E,Hollims,(440) 455-6451,01/06/1972,lhollims@mcdonald's.com,<6451-3200/Hol>,283-61-4580,03/31/97,09/17/03,
Christa Corn MD,Physicians & Surgeons,2040 W Bethany Home Rd # 1,pHOENIX,Arizona,85015-2445,Christa,A,Corn,(759) 287-2736,31/03/1962,ccorn@christacornmd.com,<2736-2445/Cor>,332-90-1468,02/17/06,08/05/12,
Pjw Automotive Inc,Automobile Repairing & Service,2087 Old Highway 8 NW,sAINT PAUL,MN,55112-1825,Patrick,B,Whelan,(619) 426-6701,06/02/1973,pwhelan@pjwautomotiveinc.com,<6701-1825/Whe>,439-20-9686,10/29/99,04/16/06,
Jeffrey Mark DDS,Dentists,20950 N Tatum Blvd,pHOENIX,Arizona,85050-4200,Jeffrey,D,Mark,(258) 122-8154,29/01/1977,jmark@jeffreymarkdds.com,<8154-4200/Mar>,463-75-3725,09/16/08,12/26/99,
Mazari Inc,Management service,2100 Atlantic Ave,wILDWOOD,NJ,08260-5383,William,W,Miazri,(638) 294-0235,26/05/1955,wmiazri@mazariinc.com,<0235-5383/Mia>,168-66-9316,05/28/02,11/13/08,
BCS Transportation,Limousine Service,2108 W 7th St,bROOKLYN,NY,11223-3754,Aleksey,S,Olshamskiy,(894) 902-0529,15/03/1956,aolshamskiy@bcstransportation.com,<0529-3754/Ols>,494-86-6484,02/06/96,07/25/02,
Village Funding Corp,"Loan brokers, nec",21143 Jamaica Ave,qUEENS VILLAGE,NY,11428-1621,Anemone,J,Oodit,(768) 737-5486,10/10/1969,aoodit@villagefundingcorp.com,<5486-1621/Ood>,735-60-5665,12/25/04,06/13/11,
Cricket Pavillion,Stadiums Arenas & Athletic Fields,2121 N 83rd Ave,pHOENIX,Arizona,85035-3003,Brandon,Y,Sirochman,(896) 531-5633,06/03/1970,bsirochman@cricketpavillion.com,<5633-3003/Sir>,6-15-8366,09/05/98,02/21/05,
St John The Baptist Catholic,Churches,213 N 13th St,fORT CALHOUN,NE,68023-2048,Michael,D,Gutgsell,(643) 860-0616,10/06/1956,mgutgsell@stjohnthebaptistcatholic.com,<0616-2048/Gut>,161-26-9809,07/25/07,11/02/98,
Sisto Lombrdi PST 64 Italn AMR,"Civic and social associations, nec",213 Vineland Ave,eAST LONGMEADOW,MA,01028-2020,Carmine,S,Difranco,(716) 629-3201,09/07/1963,cdifranco@sistolombrdipst64italnamr.com,<3201-2020/Dif>,676-51-2375,04/04/01,09/21/07,
Avg Automotive Inc,General automotive repair service,2151 Highland Ave Ne,hICKORY,NC,28601-8107,Alfonso,E,Gonez,(510) 335-7365,02/12/1974,agonez@avgautomotiveinc.com,<7365-8107/Gon>,68-01-7646,12/14/94,06/01/01,
Ventura Bay Properties L L C,Land developer,2165 S Raven Cir,mESA,Arizona,85208-6238,Douglas,,Coul,(422) 286-0179,31/03/1955,dcoul@venturabaypropertiesllc.com,<0179-6238/Cou>,614-47-2292,11/02/03,04/20/10,
Mmil Trucking,Local trucking company,218 N F St,iMPERIAL,CA,92251-1157,Laticia,,Ornelas,(148) 175-3860,28/04/1965,lornelas@mmiltrucking.com,<3860-1157/Orn>,27-44-8429,07/13/97,12/30/03,
Nivas Radiator & Locksmith,Automobile Smog Control Devices,218b W Winnemucca Blvd,wINNEMUCCA,NV,89445-3441,Kenneth,A,Niva,(400) 443-2414,13/05/1961,kniva@nivasradiator&locksmith.com,<2414-3441/Niv>,880-23-0625,06/01/06,09/09/97,
Global American Technologies,Misc Non-Durable Goods Nec (Wholesale),220 Magnolia Ave,hILLSDALE,NJ,07642-2115,Maxwell,B,Quqa,(229) 396-7961,20/07/1976,mquqa@globalamericantechnologies.com,<7961-2115/Quq>,440-82-2043,02/10/00,07/29/06,
Evans Company,General automotive repair service,220 S Central Blvd,mONROE,Utah,84754-3027,Charles,D,Evans,(186) 199-0164,16/03/1955,cevans@evanscompany.com,<0164-3027/Eva>,296-70-4338,12/29/08,04/08/00,
Euro Bakery & Deli,Delicatessens,2200 Madison Ave,bRIDGEPORT,CT,06606-3237,Vincent,W,Riggolli,(491) 207-9077,10/08/1979,vriggolli@eurobakery&deli.com,<9077-3237/Rig>,152-29-6893,09/09/02,02/25/09,
Redden Construction Inc,Parking Stations & Garages Construction,2201 S 7th Ave Ste 1,pHOENIX,Arizona,85007-4330,Michael,S,Horvath,(513) 058-3545,17/06/1964,mhorvath@reddenconstructioninc.com,<3545-4330/Hor>,108-70-3314,05/20/96,11/06/02,
Charles Butler,Offices Of Health Practitioners Nec,2205 Cornerstone Blvd,eDINBURG,TX,78539-8472,Charles,J,Butler,(985) 817-4933,05/04/1968,cbutler@charlesbutler.com,<4933-8472/But>,858-92-7064,04/08/05,09/25/11,
WBQC Upn 38,Veterinarians Equipment & Supls (Whol),2212 Losantiville Ave,cINCINNATI, Ohio,45237-4206,Elliott,Y,Wok,(690) 677-1805,12/09/1959,ewok@wbqcupn38.com,<1805-4206/Wok>,61-83-6527,12/18/98,06/05/05,
Chem Dry By Bill & Maria,Carpet & Rug Cleaners,224 N 84th Pl,mESA,Arizona,85207-7742,William,D,Hoover,(999) 277-4364,14/09/1966,whoover@chemdrybybill&maria.com,<4364-7742/Hoo>,292-31-6084,11/06/07,02/14/99,
Venneberg Insurance Inc,Insurance,225 Harbor Dr,sITKA,AK,99835-7700,Michael,S,Venneberg,(828) 720-6020,28/03/1971,mvenneberg@venneberginsuranceinc.com,<6020-7700/Ven>,364-93-8433,07/17/01,01/03/08,
KPM Asset Management Inc,"Management consulting services, nec",22954 El Toro Rd,lAKE FOREST,CA,92630-4961,Kenneth,E,Mascari,(591) 945-5353,30/05/1969,kmascari@kpmassetmanagementinc.com,<5353-4961/Mas>,327-83-7332,03/28/95,09/13/01,
Rhb Development Corp of Ct,Real estate agents and managers,23 Tupelo Rd,wESTPORT,CT,06880-1738,Richard,,Bobrow,(491) 296-9877,18/10/1981,rbobrow@rhbdevelopmentcorpofct.com,<9877-1738/Bob>,919-94-2317,02/14/04,08/02/10,
Keystone Engineered Service,Engineering service,232 Craig Industrial Park,sELMA,AL,36701-8476,Phillip,,Johnson,(132) 743-7498,14/04/1975,pjohnson@keystoneengineeredservice.com,<7498-8476/Joh>,449-34-9444,10/25/97,04/12/04,
M B Cosmetic,Beauty Salons,235 Sunrise Ave,pALM BEACH,FL,33480-3812,Marlene,A,Brvrr,(467) 775-2581,27/10/1961,mbrvrr@mbcosmetic.com,<2581-3812/Brv>,652-30-9482,09/13/06,12/22/97,
Gifts of West,Balloon Artists,24 E Center St,kANAB,Utah,84741-3542,Tiffany,B,Clarkson,(167) 559-5093,12/09/1968,tclarkson@giftsofwest.com,<5093-3542/Cla>,853-72-6352,05/24/00,11/10/06,
Bills Refinishing Shop,Furniture-Outdoor-Recovering & Repairing,240 N 6th St,pONCHATOULA,LA,70454-3202,William,D,Byl,(595) 698-6467,17/06/1972,wbyl@billsrefinishingshop.com,<6467-3202/Byl>,882-31-9224,04/12/09,07/21/00,
Coca-Cola,Manufacturer of soft drinks,240 W 1st Ave,aNCHORAGE,AK,99501-1648,William,W,Odom,(123) 711-3709,28/11/1964,wodom@coca-cola.com,<3709-1648/Odo>,625-46-4417,12/22/02,06/09/09,
Well's Grocery,Grocers-Retail,2401 Wyo Rd,yADKINVILLE,NC,27055-6841,Herbert,S,Wells,(133) 749-3633,13/09/1964,hwells@well'sgrocery.com,<3633-6841/Wel>,974-59-9883,09/01/96,02/18/03,
McDonalds,Ice Cream Parlors,2404 Route 22 E,uNION,NJ,07083-8507,Zackery,J,Zack,(743) 182-1677,07/05/1959,zzack@mcdonalds.com,<1677-8507/Zac>,443-51-7785,07/21/05,01/07/12,
Carroll Consulting Group,Electronics-Consultants,2420 Concord Ave,sANTA CLARA,Utah,84765-5621,Michael,Y,Carroll,(637) 570-8795,01/11/1978,mcarroll@carrollconsultinggroup.com,<8795-5621/Car>,961-63-7546,04/01/99,09/17/05,
Fsr Inc,"Carbon and graphite products, nec",244 Bergen Blvd,lITTLE FALLS,NJ,07424-2502,William,D,Fitzsimmons,(261) 796-5434,19/08/1969,wfitzsimmons@fsrinc.com,<5434-2502/Fit>,822-97-9670,02/18/08,05/29/99,
Samurai,Restaurants,245 Red Cliffs Dr,sT GEORGE,Utah,84790-8604,Michael,S,Huy,(332) 708-0053,25/11/1954,mhuy@samurai.com,<0053-8604/Huy>,336-05-2796,10/29/01,04/16/08,
Hege Tax Svc,Tax Return Preparation & Filing,2469 Enterprise Rd,lEXINGTON,NC,27295-9237,Johnsie,E,Hege,(105) 538-5982,18/02/1971,jhege@hegetaxsvc.com,<5982-9237/Heg>,104-97-6616,07/10/95,12/26/01,
